# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
 4534.1800000 752028.51262 3293984.7374 -1776.420981 2415.5909808 563.11262033 -2475.162606 179.27000000 89.100000000 1.2923422342
 4538.9950000 752028.56766 3293979.9233 -1776.494511 2415.6645110 563.16765720 -2479.976729 179.42000194 89.149997088 0.9850355506
 4543.8100000 752028.61009 3293975.1090 -1776.563840 2415.7338398 563.21009111 -2484.791041 179.57000000 89.200000000 0.9850355506
 4548.6000000 752028.64186 3293970.3195 -1776.630719 2415.8007187 563.24185626 -2489.580468 179.67000000 89.199998782 0.6262437519
 4553.3900000 752028.66526 3293965.5301 -1776.697598 2415.8675976 563.26526224 -2494.369943 179.77000000 89.200000000 0.6262437519
 4558.2250000 752028.68467 3293960.6955 -1776.760886 2415.9308858 563.28466945 -2499.204490 179.77000000 89.300000000 0.6204756980
 4563.0600000 752028.70408 3293955.8609 -1776.815736 2415.9857359 563.30407709 -2504.039139 179.77000000 89.400000000 0.6204756980
 4567.8400000 752028.72118 3293951.0811 -1776.863706 2416.0337055 563.32117864 -2508.818867 179.82000042 89.449999791 0.4437806154
 4572.6200000 752028.73411 3293946.3014 -1776.907504 2416.0775039 563.33410920 -2513.598649 179.87000000 89.500000000 0.4437806154
 4577.3600000 752028.74486 3293941.5616 -1776.955072 2416.1250721 563.34486337 -2518.338396 179.87000000 89.350000000 0.9493670886
 4582.1000000 752028.75562 3293936.8220 -1777.015049 2416.1850487 563.35561721 -2523.078003 179.87000000 89.200000000 0.9493670886
 4586.9000000 752028.76441 3293932.0224 -1777.075785 2416.2457845 563.36441286 -2527.877610 179.92000149 89.349999753 0.9882052970
 4591.7000000 752028.76902 3293927.2226 -1777.123955 2416.2939548 563.36902021 -2532.677364 179.97000000 89.500000000 0.9882052970
 4596.4900000 752028.76944 3293922.4328 -1777.159485 2416.3294850 563.36943815 -2537.467231 180.02000080 89.649999867 0.9902728806
 4601.2800000 752028.76568 3293917.6428 -1777.182475 2416.3524753 563.36567609 -2542.257173 180.07000000 89.800000000 0.9902728806
 4606.1000000 752028.75979 3293912.8229 -1777.197197 2416.3671971 563.35978738 -2547.077146 180.07000000 89.850000000 0.3112033195
 4610.9200000 752028.75390 3293908.0029 -1777.207713 2416.3777127 563.35389865 -2551.897131 180.07000000 89.900000000 0.3112033195
 4615.7400000 752028.74801 3293903.1829 -1777.214022 2416.3840221 563.34800992 -2556.717123 180.07000000 89.950000000 0.3112033195
 4620.5600000 752028.74212 3293898.3629 -1777.216125 2416.3861252 563.34212118 -2561.537119 180.07000000 90.000000000 0.3112033195
 4625.3550000 752028.73626 3293893.5679 -1777.218217 2416.3882174 563.33626298 -2566.332115 180.07000000 89.950000000 0.3128258603
 4630.1500000 752028.73040 3293888.7729 -1777.224494 2416.3944940 563.33040479 -2571.127107 180.07000000 89.900000000 0.3128258603
 4632.0750000 752028.72721 3293886.8479 -1777.228694 2416.3986937 563.32721303 -2573.052100 180.11999989 89.849999943 1.1019826359
